name,id,model_type,enclave_id,enclave_name,creator_name,creator_id,grant,grant_user_name,grant_user_given_name,grant_user_family_name,processing_status,created_at,updated_at
Digital_One_CAMEO_IstariONE.mdzip,30566b0c-4de2-4825-ac28-572bdf4ef39a,cameo,b1a3cd2e-4321-4b34-9ca7-2d23bbd9d0e4,defense.istari.integrator.com,cbenson@istaridigital.com,e6a86ca3-209c-4681-bce8-ba33f61f0c30,owner,cbenson@istaridigital.com,Christopher,Benson,CREATED,2024-09-09T00:40:33.585285,2024-09-09T00:40:33.585285
Digital_One_PLM_Model_42F2364700001ABC65832D6F0001428C.json,4c0b54d8-9a6e-45ff-b12d-13192fd568d4,plm,b1a3cd2e-4321-4b34-9ca7-2d23bbd9d0e4,defense.istari.integrator.com,cbenson@istaridigital.com,e6a86ca3-209c-4681-bce8-ba33f61f0c30,owner,cbenson@istaridigital.com,Christopher,Benson,CREATED,2024-09-09T00:45:32.207647,2024-09-09T00:46:01.818218
Digital_One_EXCEL_Budget_Example.xlsx,8eb99af5-f0ff-40b1-92c1-568b8e00cf8e,excel,aa3e8f4b-5c98-4dcd-95ad-d32a9bc6d6d0,defense.istari.lockheedmartin.com,cbenson@istaridigital.com,e6a86ca3-209c-4681-bce8-ba33f61f0c30,editor,slauver@istaridigital.com,Steve,Lauver,CREATED,2024-09-09T00:40:33.585164,2024-09-09T00:40:33.585164
Digital_One_EXCEL_Flights_per_Month_extract.xlsx,96c479bd-c270-46f3-b63c-5d41067ec8ce,excel,b1a3cd2e-4321-4b34-9ca7-2d23bbd9d0e4,defense.istari.integrator.com,cbenson@istaridigital.com,e6a86ca3-209c-4681-bce8-ba33f61f0c30,owner,cbenson@istaridigital.com,Christopher,Benson,CREATED,2024-09-09T00:40:32.766711,2024-09-09T00:40:32.766711
Digital_One_CATIA_v5_CAD_IstariOne.zip,b7400300-b1c9-4bca-a244-4ec1f03fc232,catia,ca34c96d-12cd-4ec5-8db3-cf36726f5c3f,defense.istari.raytheon.com,cbenson@istaridigital.com,e6a86ca3-209c-4681-bce8-ba33f61f0c30,owner,cbenson@istaridigital.com,Christopher,Benson,CREATED,2024-09-09T00:40:32.786178,2024-09-09T00:40:32.786178
Digital_One_Example_Word_Document_DEMO.docx,c7dbdc73-c3ec-4ad2-94d1-583697be4da4,word,b1a3cd2e-4321-4b34-9ca7-2d23bbd9d0e4,defense.istari.integrator.com,cbenson@istaridigital.com,e6a86ca3-209c-4681-bce8-ba33f61f0c30,owner,cbenson@istaridigital.com,Christopher,Benson,CREATED,2024-09-09T00:40:32.758765,2024-09-09T00:40:32.758765
Digital_One_DOORS_Requirement_Traceability.dpf,fa34b8de-a98a-4c4a-81c9-1b745e04d7a9,doors,f4c82b27-3b47-4227-a9f7-b6cf1284e29d,defense.istari.boeing.com,awright@boeing.com,awright@boeing.com,owner,awright@boeing.com,Orville,Wright,CREATED,2024-09-09T10:40:20.325145,2024-09-09T10:40:20.325145
Digital_One_NX_Part_Assembly.prt,f731b5b6-8d8e-44ff-905f-9e7f67314e7f, nx,aa3e8f4b-5c98-4dcd-95ad-d32a9bc6d6d0,defense.istari.lockheedmartin.com,kcurie@lockheedmartin.com,kcurie@lockheedmartin.com,owner,kcurie@lockheedmartin.com,Marie,Curie,CREATED,2024-09-09T10:45:15.128934,2024-09-09T10:45:15.128934
Digital_One_3DX_Model_Assembly.3dxml,63c9df3d-2b18-4c5b-a8c9-b4b7b389c9f5,3dx,ca34c96d-12cd-4ec5-8db3-cf36726f5c3f,defense.istari.raytheon.com,ornicholson@raytheon.com,ornicholson@raytheon.com,owner,ornicholson@raytheon.com,Orson,Nicholson,CREATED,2024-09-09T11:02:45.467231,2024-09-09T11:02:45.467231
Digital_One_TeamCenter_BOM_Structure.tcxml,fbf24acb-22f7-49e5-a5cd-e89c0b2a7a5e,dteamcenter,eb1c13d5-9f8b-4b76-bcfc-478d5dcf20b6,defense.istari.northropgrumman.com,ihopkins@northropgrumman.com,ihopkins@northropgrumman.com,owner,ihopkins@northropgrumman.com,Isaac,Hopkins,CREATED,2024-09-09T11:05:11.612300,2024-09-09T11:05:11.612300
